"R0000100","R0004500","R0005500","R0005700","R0005900","R0006000","R0006800","R0007200","R0007500","R0009100","R0011600","R0011800","R0012800","R0013700","R0014100","R0441100","R0443000","R0443300","R0443900","R0444300","R0444400","R0444500","R0444600","R0446200","R0446500","R0450100","R0457200","R0492100","R0492300","R0492500","R0492700","R0492900","R0493100","R0493300","R0493500","R0493700","R0493900","R0494100","R0499200","R0527200","R0527500","R0529400"
83,-4,0,1,6,0,0,-4,1,2,7,2,4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,1,-4,1,2,2,2,1,-4,1,3,1,2,4,2,0,0,1,1
84,-4,0,0,-4,0,0,-4,0,6,5,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
85,2,-4,-4,-4,-4,-4,-4,-4,6,7,4,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
86,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
87,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,1,-4,1,-4,-4,-4,-4,-4,1,-4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-4
88,2,-4,-4,-4,-4,-4,-4,-4,6,1,4,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
89,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
90,2,-4,-4,-4,-4,-4,-4,-4,6,7,4,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,3,2,4,2,4,1,2,1,1,3,4,1,0,1,0,1
91,2,-4,-4,-4,-4,-4,-4,-4,6,6,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,4,1,1,3,1,4,1,1,2,4,1,0,0,1,0
92,2,-4,-4,-4,-4,-4,-4,-4,6,6,5,1,-4,-4,-4,-4,-4,1,3,2,3,2,-4,1,-4,1,1,2,2,2,2,1,2,1,4,4,3,1,0,1,0
93,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,0,1,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,2,4,1,3,2,2,2,2,2,3,3,0,1,1,1
94,-4,0,1,6,0,0,-4,0,6,4,1,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
95,2,-4,-4,-4,-4,-4,-4,-4,6,3,2,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
96,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
97,2,-4,-4,-4,-4,-4,-4,-4,6,6,3,2,-4,-4,-4,1,-4,1,-4,-4,-4,-4,-4,0,-4,1,3,4,2,4,4,2,2,1,4,4,3,0,1,0,0
98,2,-4,-4,-4,-4,-4,-4,-4,6,3,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,1,1,-4,1,2,1,1,1,1,1,1,1,3,3,1,0,0,0,1
99,3,-4,-4,-4,-4,-4,-4,-4,6,2,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,1,3,2,1,1,2,2,2,1,1,1,0,1,0,-4
100,2,-4,-4,-4,-4,-4,-4,-4,6,6,3,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
101,-4,1,1,1,1,0,-4,0,6,5,3,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
102,-4,1,1,11,0,0,-4,0,6,4,3,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,1,1,3,1,4,4,4,1,1,4,1,1,0,0,1,-4
103,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
104,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,0,-4,1,1,2,1,1,1,1,1,1,4,1,0,1,0,-4
105,-4,1,1,-2,0,0,-4,0,6,3,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
106,-4,0,0,-4,0,0,-4,0,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
107,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,-4,2,2,2,1,-4,1,1,2,1,2,2,2,1,2,2,2,2,0,0,1,0
108,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,3,2,3,2,2,2,3,2,1,4,2,2,0,0,1,0
109,-4,0,0,-4,0,0,-4,0,6,0,-4,4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,-4,1,0,-4,0,0,-4,0,6,7,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,3,1,2,4,2,1,1,1,2,3,1,3,0,0,0,0
111,2,-4,-4,-4,-4,-4,-4,-4,6,4,2,1,-4,-4,-4,1,-4,1,-4,-4,-4,-4,1,0,-4,1,1,4,1,1,1,1,3,3,3,4,3,0,0,1,1
112,-4,1,1,6,0,0,-4,0,6,-4,-4,-4,-4,1,-4,-4,-4,0,-4,-4,-4,-4,2,1,-4,3,1,4,2,2,1,2,2,3,1,4,1,0,0,0,1
113,2,-4,-4,-4,-4,-4,-4,-4,6,2,3,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,-4,0,1,6,1,0,-4,0,6,3,8,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,-4,2,1,1,4,1,3,2,3,3,4,3,0,0,1,0
115,1,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,-4,-4,-4,1,-4,-4,-4,-4,-4,1,-4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,1,0
116,-4,1,1,0,0,0,-4,0,6,5,1,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,4,3,2,4,3,2,4,4,4,3,4,0,0,1,1
117,-4,1,1,9,0,0,-4,0,6,0,3,3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
118,-4,1,1,9,0,0,-4,0,6,5,3,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,-4,0,0,-4,1,0,-4,0,4,4,2,4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,1,-4,3,1,1,1,1,1,2,1,1,2,4,1,0,0,1,0
120,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
121,2,-4,-4,-4,-4,-4,-4,-4,6,5,4,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,-4,1,2,2,3,4,1,2,4,3,2,1,0,0,0,-4
122,2,-4,-4,-4,-4,-4,-4,-4,6,5,0,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
